81
-4 	448
-3.9 	401.358
-3.8 	358.307
-3.7 	318.662
-3.6 	282.243
-3.5 	248.875
-3.4 	218.387
-3.3 	190.614
-3.2 	165.395
-3.1 	142.574
-3 	122
-2.9 	103.526
-2.8 	87.0112
-2.7 	72.3182
-2.6 	59.3152
-2.5 	47.875
-2.4 	37.8752
-2.3 	29.1982
-2.2 	21.7312
-2.1 	15.3662
-2 	10
-1.9 	5.5342
-1.8 	1.8752
-1.7 	-1.0658
-1.6 	-3.3728
-1.5 	-5.125
-1.4 	-6.3968
-1.3 	-7.2578
-1.2 	-7.7728
-1.1 	-8.0018
-1 	-8
-0.9 	-7.8178
-0.8 	-7.5008
-0.7 	-7.0898
-0.6 	-6.6208
-0.5 	-6.125
-0.4 	-5.6288
-0.3 	-5.1538
-0.2 	-4.7168
-0.1 	-4.3298
0	-4
0.1 	-3.7298
0.2 	-3.5168
0.3 	-3.3538
0.4 	-3.2288
0.5 	-3.125
0.6 	-3.0208
0.7 	-2.8898
0.8 	-2.7008
0.9 	-2.4178
1 	-2
1.1 	-1.4018
1.2 	-0.5728
1.3 	0.5422
1.4 	2.0032
1.5 	3.875
1.6 	6.2272
1.7 	9.1342
1.8 	12.6752
1.9 	16.9342
2 	22
2.1 	27.9662
2.2 	34.9312
2.3 	42.9982
2.4 	52.2752
2.5 	62.875
2.6 	74.9152
2.7 	88.5182
2.8 	103.811
2.9 	120.926
3 	140
3.1 	161.174
3.2 	184.595
3.3 	210.414
3.4 	238.787
3.5 	269.875
3.6 	303.843
3.7 	340.862
3.8 	381.107
3.9 	424.758




