0 0
1.73205  0.803802
3.4641  1.2152
5.19615  1.23421
6.9282  0.860808
8.66025  0.0950106
10.3923  -1.06319
12.1243  -2.61379
13.8564  -4.55678
15.5884  -6.89218
17.3205  -9.61998
19.0525  -12.7402
20.7846  -16.2528
22.5166  -20.1578
24.2487  -24.4552
25.9807  -29.145
27.7128  -34.2272
29.4448  -39.7018
31.1769  -45.5688
32.9089  -51.8282
34.641  -58.48
36.373  -65.5242
38.1051  -72.9608
39.8371  -80.7898
41.5692  -89.0111
43.3012  -97.6249
45.0333  -106.631
46.7653  -116.03
48.4974  -125.821
50.2294  -136.004
51.9615  -146.58
53.6935  -157.548
55.4256  -168.909
57.1576  -180.662
58.8897  -192.807
60.6217  -205.345
62.3538  -218.275
64.0858  -231.598
65.8179  -245.313
67.5499  -259.42
69.282  -273.92
71.014  -288.812
72.7461  -304.097
74.4781  -319.774
76.2102  -335.843
77.9422  -352.305
79.6743  -369.159
81.4063  -386.406
83.1384  -404.045
84.8704  -422.076
86.6025  -440.5
88.3345  -459.316
