0	10
0.122	8.83626	884.516	-889.585	5.06922
0.123	8.82737	883.626	-888.696	5.06975
0.124	8.8185	882.737	-887.808	5.07028
0.125	8.80963	881.85	-886.92	5.07082
0.126	8.80077	880.963	-886.034	5.07135
0.127	8.79192	880.077	-885.149	5.07188
0.128	8.78307	879.192	-884.264	5.07241
0.129	8.77424	878.307	-883.38	5.07294
0.13	8.76541	877.424	-882.497	5.07347
0.131	8.7566	876.541	-881.615	5.074
0.132	8.74779	875.66	-880.734	5.07453
0.133	8.73899	874.779	-879.854	5.07505
0.134	8.7302	873.899	-878.975	5.07558
0.135	8.72142	873.02	-878.096	5.07611
0.136	8.71265	872.142	-877.219	5.07663
0.137	8.70389	871.265	-876.342	5.07716
0.138	8.69513	870.389	-875.466	5.07768
0.139	8.68638	869.513	-874.591	5.07821
0.14	8.67765	868.638	-873.717	5.07873
0.141	8.66892	867.765	-872.844	5.07926
0.142	8.6602	866.892	-871.972	5.07978
0.143	8.65149	866.02	-871.1	5.0803
0.144	8.64279	865.149	-870.23	5.08082
0.145	8.63409	864.279	-869.36	5.08135
0.146	8.62541	863.409	-868.491	5.08187
0.147	8.61673	862.541	-867.623	5.08239
0.148	8.60806	861.673	-866.756	5.08291
0.149	8.5994	860.806	-865.89	5.08343
0.15	8.59075	859.94	-865.024	5.08395
0.151	8.58211	859.075	-864.16	5.08446
0.152	8.57348	858.211	-863.296	5.08498
0.153	8.56486	857.348	-862.434	5.0855
0.154	8.55624	856.486	-861.572	5.08602
0.155	8.54763	855.624	-860.711	5.08653
0.156	8.53903	854.763	-859.85	5.08705
0.157	8.53044	853.903	-858.991	5.08756
0.158	8.52186	853.044	-858.133	5.08808
0.159	8.51329	852.186	-857.275	5.08859
0.16	8.50473	851.329	-856.418	5.08911
0.161	8.49617	850.473	-855.562	5.08962
0.162	8.48762	849.617	-854.707	5.09013
0.163	8.47909	848.762	-853.853	5.09065
0.164	8.47056	847.909	-853	5.09116
0.165	8.46203	847.056	-852.147	5.09167
0.166	8.45352	846.203	-851.296	5.09218
0.167	8.44502	845.352	-850.445	5.09269
0.168	8.43652	844.502	-849.595	5.0932
0.169	8.42803	843.652	-848.746	5.09371
0.17	8.41955	842.803	-847.897	5.09422
0.171	8.41108	841.955	-847.05	5.09472
0.172	8.40262	841.108	-846.204	5.09523
0.173	8.39417	840.262	-845.358	5.09574
0.174	8.38572	839.417	-844.513	5.09625
0.175	8.37729	838.572	-843.669	5.09675
0.176	8.36886	837.729	-842.826	5.09726
0.177	8.36044	836.886	-841.984	5.09776
0.178	8.35203	836.044	-841.142	5.09827
0.179	8.34362	835.203	-840.301	5.09877
0.18	8.33523	834.362	-839.462	5.09928
0.181	8.32684	833.523	-838.623	5.09978
0.182	8.31846	832.684	-837.785	5.10028
0.183	8.3101	831.846	-836.947	5.10078
0.184	8.30173	831.01	-836.111	5.10128
0.185	8.29338	830.173	-835.275	5.10179
0.186	8.28504	829.338	-834.44	5.10229
0.187	8.2767	828.504	-833.606	5.10279
0.188	8.26837	827.67	-832.773	5.10329
0.189	8.26005	826.837	-831.941	5.10378
0.19	8.25174	826.005	-831.11	5.10428
0.191	8.24344	825.174	-830.279	5.10478
0.192	8.23515	824.344	-829.449	5.10528
0.193	8.22686	823.515	-828.62	5.10578
0.194	8.21858	822.686	-827.792	5.10627
0.195	8.21031	821.858	-826.965	5.10677
0.196	8.20205	821.031	-826.138	5.10726
0.197	8.1938	820.205	-825.313	5.10776
0.198	8.18555	819.38	-824.488	5.10825
0.199	8.17732	818.555	-823.664	5.10875
0.2	8.16909	817.732	-822.841	5.10924
0.201	8.16087	816.909	-822.018	5.10973
0.202	8.15266	816.087	-821.197	5.11023
0.203	8.14445	815.266	-820.376	5.11072
0.204	8.13626	814.445	-819.556	5.11121
0.205	8.12807	813.626	-818.737	5.1117
0.206	8.11989	812.807	-817.919	5.11219
0.207	8.11172	811.989	-817.102	5.11268
0.208	8.10356	811.172	-816.285	5.11317
0.209	8.0954	810.356	-815.469	5.11366
0.21	8.08725	809.54	-814.654	5.11415
0.211	8.07912	808.725	-813.84	5.11464
0.212	8.07099	807.912	-813.027	5.11513
0.213	8.06286	807.099	-812.214	5.11561
0.214	8.05475	806.286	-811.402	5.1161
0.215	8.04664	805.475	-810.592	5.11659
0.216	8.03855	804.664	-809.781	5.11707
0.217	8.03046	803.855	-808.972	5.11756
0.218	8.02237	803.046	-808.164	5.11804
0.219	8.0143	802.237	-807.356	5.11853
0.22	8.00624	801.43	-806.549	5.11901
0.221	7.99818	800.624	-805.743	5.11949
0.222	7.99013	799.818	-804.938	5.11998
0.223	7.98209	799.013	-804.133	5.12046
0.224	7.97405	798.209	-803.33	5.12094
0.225	7.96603	797.405	-802.527	5.12142
0.226	7.95801	796.603	-801.725	5.1219
0.227	7.95	795.801	-800.923	5.12238
0.228	7.942	795	-800.123	5.12286
0.229	7.93401	794.2	-799.323	5.12334
0.23	7.92602	793.401	-798.525	5.12382
0.231	7.91804	792.602	-797.727	5.1243
0.232	7.91008	791.804	-796.929	5.12478
0.233	7.90211	791.008	-796.133	5.12526
0.234	7.89416	790.211	-795.337	5.12573
0.235	7.88622	789.416	-794.542	5.12621
0.236	7.87828	788.622	-793.748	5.12669
0.237	7.87035	787.828	-792.955	5.12716
0.238	7.86243	787.035	-792.162	5.12764
0.239	7.85451	786.243	-791.371	5.12811
0.24	7.84661	785.451	-790.58	5.12859
0.241	7.83871	784.661	-789.79	5.12906
0.242	7.83082	783.871	-789	5.12953
0.243	7.82294	783.082	-788.212	5.13001
0.244	7.81506	782.294	-787.424	5.13048
0.245	7.8072	781.506	-786.637	5.13095
0.246	7.79934	780.72	-785.851	5.13142
0.247	7.79149	779.934	-785.066	5.13189
0.248	7.78364	779.149	-784.281	5.13236
0.249	7.77581	778.364	-783.497	5.13283
0.25	7.76798	777.581	-782.714	5.1333
0.251	7.76016	776.798	-781.932	5.13377
0.252	7.75235	776.016	-781.151	5.13424
0.253	7.74455	775.235	-780.37	5.13471
0.254	7.73675	774.455	-779.59	5.13518
0.255	7.72896	773.675	-778.811	5.13564
0.256	7.72118	772.896	-778.033	5.13611
0.257	7.71341	772.118	-777.255	5.13658
0.258	7.70565	771.341	-776.478	5.13704
0.259	7.69789	770.565	-775.702	5.13751
0.26	7.69014	769.789	-774.927	5.13797
0.261	7.6824	769.014	-774.152	5.13844
0.262	7.67466	768.24	-773.379	5.1389
0.263	7.66694	767.466	-772.606	5.13936
0.264	7.65922	766.694	-771.834	5.13983
0.265	7.65151	765.922	-771.062	5.14029
0.266	7.64381	765.151	-770.292	5.14075
0.267	7.63611	764.381	-769.522	5.14121
0.268	7.62842	763.611	-768.753	5.14167
0.269	7.62074	762.842	-767.985	5.14213
0.27	7.61307	762.074	-767.217	5.14259
0.271	7.60541	761.307	-766.45	5.14305
0.272	7.59775	760.541	-765.684	5.14351
0.273	7.5901	759.775	-764.919	5.14397
0.274	7.58246	759.01	-764.155	5.14443
0.275	7.57483	758.246	-763.391	5.14489
0.276	7.5672	757.483	-762.628	5.14535
0.277	7.55958	756.72	-761.866	5.1458
0.278	7.55197	755.958	-761.104	5.14626
0.279	7.54437	755.197	-760.344	5.14672
0.28	7.53677	754.437	-759.584	5.14717
0.281	7.52918	753.677	-758.825	5.14763
0.282	7.5216	752.918	-758.066	5.14808
0.283	7.51403	752.16	-757.309	5.14854
0.284	7.50646	751.403	-756.552	5.14899
0.285	7.49891	750.646	-755.796	5.14944
0.286	7.49135	749.891	-755.04	5.1499
0.287	7.48381	749.135	-754.286	5.15035
0.288	7.47628	748.381	-753.532	5.1508
0.289	7.46875	747.628	-752.779	5.15125
0.29	7.46123	746.875	-752.027	5.1517
0.291	7.45372	746.123	-751.275	5.15215
0.292	7.44621	745.372	-750.524	5.1526
0.293	7.43871	744.621	-749.774	5.15305
0.294	7.43122	743.871	-749.025	5.1535
0.295	7.42374	743.122	-748.276	5.15395
0.296	7.41626	742.374	-747.528	5.1544
0.297	7.4088	741.626	-746.781	5.15485
0.298	7.40134	740.88	-746.035	5.15529
0.299	7.39388	740.134	-745.289	5.15574
0.3	7.38644	739.388	-744.545	5.15619
0.301	7.379	738.644	-743.8	5.15663
0.302	7.37157	737.9	-743.057	5.15708
0.303	7.36415	737.157	-742.314	5.15753
0.304	7.35673	736.415	-741.573	5.15797
0.305	7.34932	735.673	-740.831	5.15841
0.306	7.34192	734.932	-740.091	5.15886
0.307	7.33453	734.192	-739.351	5.1593
0.308	7.32714	733.453	-738.613	5.15975
0.309	7.31976	732.714	-737.874	5.16019
0.31	7.31239	731.976	-737.137	5.16063
0.311	7.30503	731.239	-736.4	5.16107
0.312	7.29767	730.503	-735.664	5.16151
0.313	7.29032	729.767	-734.929	5.16195
0.314	7.28298	729.032	-734.195	5.16239
0.315	7.27565	728.298	-733.461	5.16283
0.316	7.26832	727.565	-732.728	5.16327
0.317	7.261	726.832	-731.996	5.16371
0.318	7.25369	726.1	-731.264	5.16415
0.319	7.24638	725.369	-730.533	5.16459
0.32	7.23908	724.638	-729.803	5.16503
0.321	7.23179	723.908	-729.074	5.16546
0.322	7.22451	723.179	-728.345	5.1659
0.323	7.21723	722.451	-727.617	5.16634
0.324	7.20996	721.723	-726.89	5.16677
0.325	7.2027	720.996	-726.163	5.16721
0.326	7.19545	720.27	-725.438	5.16764
0.327	7.1882	719.545	-724.713	5.16808
0.328	7.18096	718.82	-723.988	5.16851
0.329	7.17373	718.096	-723.265	5.16895
0.33	7.1665	717.373	-722.542	5.16938
0.331	7.15928	716.65	-721.82	5.16981
0.332	7.15207	715.928	-721.099	5.17025
0.333	7.14487	715.207	-720.378	5.17068
0.334	7.13767	714.487	-719.658	5.17111
0.335	7.13048	713.767	-718.939	5.17154
0.336	7.1233	713.048	-718.22	5.17197
0.337	7.11613	712.33	-717.502	5.1724
0.338	7.10896	711.613	-716.785	5.17283
0.339	7.1018	710.896	-716.069	5.17326
0.34	7.09464	710.18	-715.353	5.17369
0.341	7.0875	709.464	-714.638	5.17412
0.342	7.08036	708.75	-713.924	5.17455
0.343	7.07323	708.036	-713.211	5.17497
0.344	7.0661	707.323	-712.498	5.1754
0.345	7.05898	706.61	-711.786	5.17583
0.346	7.05187	705.898	-711.075	5.17626
0.347	7.04477	705.187	-710.364	5.17668
0.348	7.03767	704.477	-709.654	5.17711
0.349	7.03058	703.767	-708.945	5.17753
0.35	7.0235	703.058	-708.236	5.17796
0.351	7.01642	702.35	-707.528	5.17838
0.352	7.00936	701.642	-706.821	5.17881
0.353	7.0023	700.936	-706.115	5.17923
0.354	6.99524	700.23	-705.409	5.17965
0.355	6.98819	699.524	-704.704	5.18007
0.356	6.98115	698.819	-704	5.1805
0.357	6.97412	698.115	-703.296	5.18092
0.358	6.9671	697.412	-702.593	5.18134
0.359	6.96008	696.71	-701.891	5.18176
0.36	6.95306	696.008	-701.19	5.18218
0.361	6.94606	695.306	-700.489	5.1826
0.362	6.93906	694.606	-699.789	5.18302
0.363	6.93207	693.906	-699.09	5.18344
0.364	6.92509	693.207	-698.391	5.18386
0.365	6.91811	692.509	-697.693	5.18428
0.366	6.91114	691.811	-696.996	5.1847
0.367	6.90418	691.114	-696.299	5.18511
0.368	6.89722	690.418	-695.603	5.18553
0.369	6.89027	689.722	-694.908	5.18595
0.37	6.88333	689.027	-694.214	5.18636
0.371	6.87639	688.333	-693.52	5.18678
0.372	6.86947	687.639	-692.827	5.1872
0.373	6.86255	686.947	-692.134	5.18761
0.374	6.85563	686.255	-691.443	5.18803
0.375	6.84872	685.563	-690.752	5.18844
